This list contains all games supported by FB Alpha.

2342 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| ddungeon	| D NW	| "ddungeon"						| 		| 1992	| Miscellaneous	| 		| Game Room				|
| drgw3		| D NW	| "drgw3"						| 		| 1998	| PolyGameMaster| 		| IGS					|
| dsoccr94	|   NW	| "dsoccr94"						| 		| 1994	| M107		| 		| Irem (Data East Corporation license)	|
| dwex		| D NW	| "dwex"						| 		| 1998	| PolyGameMaster| 		| IGS					|
| funcube2	| D NW	| "funcube2"						| 		| 2001	| Newer Seta	| 		| Namco					|
| funcube4	| D NW	| "funcube4"						| 		| 2001	| Newer Seta	| 		| Namco					|
| happy6	| D NW	| "happy6"						| 		| 2004	| PolyGameMaster| 		| IGS					|
| jockeyc	| D NW	| "jockeyc"						| 		| 1990	| Seta		| 		| [Seta] (Visco license)		|
| kengo		| D NW	| "kengo"						| 		| 1991	| M84?		| 		| Irem					|
| kiwame	| D NW	| "kiwame"						| 		| 1994	| Seta		| 		| Athena				|
| monsterz	| D NW	| "monsterz"						| 		| 19??	| Galaxian	| 		| Nihon					|
| mwalk		|   NW	| "mwalk"						| 		| 1990	| System 18	| 		| Sega					|
| nbbatman	| D NW	| "nbbatman"						| 		| 1993	| M92		| 		| Irem					|
| puzzli2	| D NW	| "puzzli2"						| 		| 1999	| PolyGameMaster| 		| IGS					|
| victnine	| D NW	| "victnine"						| 		| 1984	| Miscellaneous	| 		| Taito					|
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| 99lstwar	|  	| '99: The Last War					| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwara	|  	| '99: The Last War (alternate)				| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwark	|  	| '99: The Last War (Kyugo)				| repulse	| 1985	| Kyugo		| Kyugo		| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko16	| 					|
| 1942b		|  	| 1942 (First Version)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942a		|  	| 1942 (Revision A)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942abl	|  	| 1942 (Revision A, bootleg)				| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942		|  	| 1942 (Revision B)					| 		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942w		|  	| 1942 (Williams Electronics license)			| 1942		| 1985	| Capcom (Willia| Miscellaneous	| 					|
| 1943kai	|  	| 1943 Kai: Midway Kaisen (Japan)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943ja	|  	| 1943: Midway Kaisen (Japan)				| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943j		|  	| 1943: Midway Kaisen (Japan, Rev B)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943b		|  	| 1943: The Battle of Midway (bootleg set 1, hack of Jap| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943b2	|  	| 1943: The Battle of Midway (bootleg set 2, hack of Jap| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943		|  	| 1943: The Battle of Midway (Euro)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943u		|  	| 1943: The Battle of Midway (US)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| bgareggabl	|  	| 1945 Part 2 (Battle Garaga hack)			| bgaregga	| 1996	| hack		| Toaplan GP9001| 					|
| 1945kiii	|  	| 1945k III						| 		| 2000	| Oriental	| Miscellaneous	| 					|
| 4enraya	|  	| 4 En Raya						| 		| 1990	| IDSA		| Miscellaneous	| 					|
| 4in1		|  	| 4 Fun in 1						| 		| 1981	| Armenia / Food| Galaxian	| 					|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					|
| 600		|  	| 600							| turtles	| 1981	| Konami	| Galaxian	| 					|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					|
| 800fath	|  	| 800 Fathoms						| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					|
| abcopj	|  	| A.B. Cop (Japan, FD1094 317-0169b)			| abcop		| 1990	| Sega		| X-Board	| 					|
| abcop		|  	| A.B. Cop (World, FD1094 317-0169b)			| 		| 1990	| Sega		| X-Board	| 					|
| ad2083	|  	| A.D. 2083						| 		| 1983	| Midcoin	| Galaxian	| Incomplete Sound			|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| aceattac	|   NW	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaca	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| acrobatm	|  	| Acrobat Mission					| 		| 1991	| UPL (Taito lic| NMK16		| 					|
| actfancrj	|  	| Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr1	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 2)| 		| 1989	| Data East Corp| Miscellaneous	| 					|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					|
| hatena	|  	| Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan 90| 		| 1990	| Capcom	| Miscellaneous	| 					|
| aerofgt	|  	| Aero Fighters						| 		| 1992	| Video System C| Video System	| 					|
| aerofgtb	|  	| Aero Fighters (Turbo Force hardware set 1)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| aerofgtc	|  	| Aero Fighters (Turbo Force hardware set 2)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| aburner	|  	| After Burner (Japan)					| aburner2	| 1987	| Sega		| X-Board	| 					|
| aburner2	|  	| After Burner II					| 		| 1987	| Sega		| X-Board	| 					|
| superbon	|  	| Agent Super Bond (scobra hardware)			| 		| 1985	| Signaton USA	| Galaxian	| Bad Colours				|
| agress	|  	| Agress						| 		| 1991	| Palco		| Miscellaneous	| 					|
| agressb	|  	| Agress (English bootleg)				| agress	| 2003	| Palco		| Miscellaneous	| 					|
| koshien	|  	| Ah Eikou no Koshien (Japan)				| 		| 1990	| Taito Corporat| Taito-F2	| 					|
| airattck	|  	| Air Attack (set 1)					| 		| 1996	| Comad		| NMK16		| 					|
| airattcka	|  	| Air Attack (set 2)					| airattck	| 1996	| Comad		| NMK16		| 					|
| airbustrb	|  	| Air Buster: Trouble Specialty Raid Unit (bootleg)	| airbustr	| 1990	| bootleg	| Miscellaneous	| 					|
| airbustrj	|  	| Air Buster: Trouble Specialty Raid Unit (Japan)	| airbustr	| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (World)	| 		| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| airduel	|  	| Air Duel (Japan)					| 		| 1990	| Irem		| M72		| 					|
| agallet	|  	| Air Gallet (Europe)					| 		| 1996	| BanPresto / Ga| Cave		| 					|
| agalleth	|  	| Air Gallet (Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletj	|  	| Air Gallet (Japan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletk	|  	| Air Gallet (Korea)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agallett	|  	| Air Gallet (Taiwan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletu	|  	| Air Gallet (USA)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Kyugo		| 					|
| airwolfa	|  	| Airwolf (US)						| airwolf	| 1987	| Kyugo (UA Thea| Kyugo		| 					|
| ajax		|  	| Ajax							| 		| 1987	| Konami	| GX770		| 					|
| ajaxj		|  	| Ajax (Japan)						| ajax		| 1987	| Konami	| GX770		| 					|
| akumajoun	|  	| Akuma-Jou Dracula (Japan ver. N)			| hcastle	| 1988	| Konami	| Miscellaneous	| 					|
| akumajou	|  	| Akuma-Jou Dracula (Japan ver. P)			| hcastle	| 1988	| Konami	| Miscellaneous	| 					|
| alcon		|  	| Alcon (US)						| 		| 1986	| Taito America | Early Toaplan	| 					|
| alexkidd1	|  	| Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)| alexkidd	| 1986	| Sega		| System 16A	| 					|
| alexkidd	|  	| Alex Kidd: The Lost Stars (set 2, unprotected)	| 		| 1986	| Sega		| System 16A	| 					|
| alibaba	|  	| Ali Baba and 40 Thieves				| 		| 1982	| Sega		| Pac-man	| 					|
| alienchac	|  	| Alien Challenge (China)				| aliencha	| 1994	| IGS		| Miscellaneous	| Imperfect sound			|
| aliencha	|  	| Alien Challenge (World)				| 		| 1994	| IGS		| Miscellaneous	| Imperfect sound			|
| aliensec	|  	| Alien Sector						| 		| 1985	| Namco		| Miscellaneous	| 					|
| astormj	|  	| Alien Storm (set 1, Japan, 2 Players, FD1094 317-0146)| astorm	| 1990	| Sega		| System 18	| 					|
| astormu	|  	| Alien Storm (set 2, US, 3 Players, FD1094 317-0147)	| astorm	| 1990	| Sega		| System 18	| 					|
| astorm3	|  	| Alien Storm (set 3, World, 3 Players, FD1094 317-0148)| astorm	| 1990	| Sega		| System 18	| 					|
| astorm	|  	| Alien Storm (set 4, World, 2 Players, FD1094 317-0154)| 		| 1990	| Sega		| System 18	| 					|
| astormja	|  	| Alien Storm (set 5, Japan Rev B, 2 Players, FD1094 317| astorm	| 1990	| Sega		| System 18	| 					|
| aliensynjo	|  	| Alien Syndrome (set 1, Japan, old, System 16A, FD1089A| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensyn2	|  	| Alien Syndrome (set 2, System 16A, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensyn3	|  	| Alien Syndrome (set 3, System 16B, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16B	| 					|
| aliensyn	|  	| Alien Syndrome (set 4, System 16B, unprotected)	| 		| 1987	| Sega		| System 16B	| 					|
| aliensyn5	|  	| Alien Syndrome (set 5, System 16A, FD1089B 317-0037)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensynj	|  	| Alien Syndrome (set 6, Japan, new, System 16B, FD1089A| aliensyn	| 1987	| Sega		| System 16B	| 					|
| aliensyn7	|  	| Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)	| aliensyn	| 1987	| Sega		| System 16B	| 					|
| aliensa	|  	| Aliens (Asia)						| aliens	| 1990	| Konami	| GX875		| 					|
| aliensj	|  	| Aliens (Japan set 1)					| aliens	| 1990	| Konami	| GX875		| 					|
| aliensj2	|  	| Aliens (Japan set 2)					| aliens	| 1990	| Konami	| GX875		| 					|
| aliensu	|  	| Aliens (US)						| aliens	| 1990	| Konami	| GX875		| 					|
| aliens	|  	| Aliens (World set 1)					| 		| 1990	| Konami	| GX875		| 					|
| aliens2	|  	| Aliens (World set 2)					| aliens	| 1990	| Konami	| GX875		| 					|
| aliens3	|  	| Aliens (World set 3)					| aliens	| 1990	| Konami	| GX875		| 					|
| altbeast2	|  	| Altered Beast (set 2, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast4	|  	| Altered Beast (set 4, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast5	|  	| Altered Beast (set 5, FD1094 317-0069)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast6	|  	| Altered Beast (set 6, 8751 317-0076)			| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast	|  	| Altered Beast (set 8, 8751 317-0078)			| 		| 1988	| Sega		| System 16B	| 					|
| ambush	|  	| Ambush						| 		| 1983	| Tecfri	| Miscellaneous	| 					|
| ambushj	|  	| Ambush (Japan)					| ambush	| 1983	| Nippon Amuse C| Miscellaneous	| 					|
| ambushv	|  	| Ambush (Volt Elec co-ltd)				| ambush	| 1983	| Volt Elec co-l| Miscellaneous	| 					|
